Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","108947","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","tonnes","136730","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","271150","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","290916","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","341949","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","tonnes","224781","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2018","2018","tonnes","829033","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2019","2019","tonnes","941154","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2020","2020","tonnes","1060364","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","tonnes","84271","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","tonnes","78655","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4021","NPK fertilizers","2020","2020","tonnes","121459","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2018","2018","tonnes","194323","I","Imputed value"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2019","2019","tonnes","176187","I","Imputed value"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2018","2018","tonnes","42440","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2019","2019","tonnes","78653","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2020","2020","tonnes","96054","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2018","2018","tonnes","28483","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2019","2019","tonnes","28750","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","27614","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","25732","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","tonnes","37720","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4025","Potassium nitrate","2018","2018","tonnes","5384","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4025","Potassium nitrate","2019","2019","tonnes","5771","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4025","Potassium nitrate","2020","2020","tonnes","9183","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2018","2018","tonnes","7831","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2019","2019","tonnes","5839","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2020","2020","tonnes","6171","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","110566","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","97384","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4012","Superphosphates above 35%","2020","2020","tonnes","121167","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4013","Superphosphates, other","2018","2018","tonnes","306238","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4013","Superphosphates, other","2019","2019","tonnes","316622","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4013","Superphosphates, other","2020","2020","tonnes","333914","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","1630596","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","1826695","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4001","Urea","2020","2020","tonnes","2074028","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2018","2018","tonnes","552535","T","Unofficial figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2019","2019","tonnes","616734","A","Official figure"
"RFB","Fertilizers by Product","032","Argentina","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2020","2020","tonnes","640069","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4007","Ammonia, anhydrous","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4007","Ammonia, anhydrous","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4007","Ammonia, anhydrous","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2018","2018","tonnes","21144","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2019","2019","tonnes","9770","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2020","2020","tonnes","5400","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","tonnes","1","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","tonnes","5.85","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4002","Ammonium sulphate","2020","2020","tonnes","39.1","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2018","2018","tonnes","1536","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","1080","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","tonnes","1720","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","6","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","tonnes","3486.68","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","tonnes","4290","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4030","Fertilizers n.e.c.","2020","2020","tonnes","4500","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4023","Monoammonium phosphate (MAP)","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","tonnes","222.5","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","tonnes","87","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4021","NPK fertilizers","2020","2020","tonnes","351","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2018","2018","tonnes","19501","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2019","2019","tonnes","56964","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2020","2020","tonnes","30000","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4026","Other NK compounds","2018","2018","tonnes","20","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4026","Other NK compounds","2019","2019","tonnes","7.6","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4026","Other NK compounds","2020","2020","tonnes","69.8","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4024","Other NP compounds","2018","2018","tonnes","18.2","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4024","Other NP compounds","2019","2019","tonnes","212","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4024","Other NP compounds","2020","2020","tonnes","450","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2018","2018","tonnes","3","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2019","2019","tonnes","0.5","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2020","2020","tonnes","87.5","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2018","2018","tonnes","616.09","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2019","2019","tonnes","17","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4018","Other potassic fertilizers, n.e.c.","2020","2020","tonnes","160","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4011","Phosphate rock","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4011","Phosphate rock","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4011","Phosphate rock","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4027","PK compounds","2018","2018","tonnes","415","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4027","PK compounds","2019","2019","tonnes","150.9","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4027","PK compounds","2020","2020","tonnes","37","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","54","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","108","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","tonnes","72.7","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4025","Potassium nitrate","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4025","Potassium nitrate","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4025","Potassium nitrate","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2018","2018","tonnes","144","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2019","2019","tonnes","162","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2020","2020","tonnes","36.7","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4005","Sodium nitrate","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4005","Sodium nitrate","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4005","Sodium nitrate","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","2","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","133.5","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4012","Superphosphates above 35%","2020","2020","tonnes","42.5","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4013","Superphosphates, other","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4013","Superphosphates, other","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4013","Superphosphates, other","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","2512","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","2378","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4001","Urea","2020","2020","tonnes","0.88","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","051","Armenia","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2020","2020","tonnes","2","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","tonnes","23143.25","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","tonnes","17038.88","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2018","2018","tonnes","252657.41","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","217219.69","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","tonnes","4187.15","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","tonnes","4633.04","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","tonnes","130908.07","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","tonnes","125422.19","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2018","2018","tonnes","10338.7","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4008","Other nitrogenous fertilizers, n.e.c.","2019","2019","tonnes","11323.37","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2018","2018","tonnes","17733.84","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4014","Other phosphatic fertilizers, n.e.c.","2019","2019","tonnes","16537.87","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","28668.63","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","24548.19","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2018","2018","tonnes","3860.22","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4017","Potassium sulphate (sulphate of potash) (SOP)","2019","2019","tonnes","5383.22","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","30603.17","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","22613.16","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2018","2018","tonnes","3309.08","A","Official figure"
"RFB","Fertilizers by Product","040","Austria","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2019","2019","tonnes","3204.1","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","763000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","962000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","924000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2018","2018","tonnes","724000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2019","2019","tonnes","716000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4016","Potassium chloride (muriate of potash) (MOP)","2020","2020","tonnes","764000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","tonnes","781000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","tonnes","691000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4012","Superphosphates above 35%","2020","2020","tonnes","700000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4001","Urea","2018","2018","tonnes","2594000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4001","Urea","2019","2019","tonnes","2510000","A","Official figure"
"RFB","Fertilizers by Product","050","Bangladesh","5157","Agricultural Use","4001","Urea","2020","2020","tonnes","2599000","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4007","Ammonia, anhydrous","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4007","Ammonia, anhydrous","2019","2019","tonnes","1.3","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4007","Ammonia, anhydrous","2020","2020","tonnes","0.8","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4002","Ammonium sulphate","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2018","2018","tonnes","28","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2019","2019","tonnes","23.3","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4004","Calcium ammonium nitrate (CAN) and other mixtures with calcium carbonate","2020","2020","tonnes","48","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2018","2018","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2019","2019","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4022","Diammonium phosphate (DAP)","2020","2020","tonnes","0","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","tonnes","41","A","Official figure"
"RFB","Fertilizers by Product","060","Bermuda","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","tonnes","79","A","Official figure"
